"","x"
"10th",3
"1st",1
"2",102
"2nd",2
"5th",3
"6th",1
"7th",2
"9th",1
"a",25589
"aal",2
"ab",15
"aback",1
"abandon",6
"abandoned",19
"abandoning",3
"abashed",4
"abated",4
"abatement",3
"abates",3
"abating",2
"abeam",1
"abed",1
"aberdavine",1
"abet",1
"abetter",2
"abhor",5
"abhorred",1
"abhorrence",6
"abhors",1
"abide",3
"abides",1
"abiding",2
"abience",1
"abilities",4
"ability",15
"abject",1
"abjure",1
"ablaze",3
"able",177
"abler",1
"ablutions",3
"ably",12
"abnegation",1
"abnormally",2
"aboard",29
"abode",11
"abodes",1
"abody",1
"abolish",2
"abolition",3
"abolitionists",4
"abominable",2
"abominably",2
"abominated",1
"abomination",2
"abominations",1
"aborigines",9
"abound",9
"abounded",4
"abounding",4
"abounds",4
"about",1766
"above",320
"abr",1
"abrasions",1
"abreast",4
"abridge",1
"abridging",1
"abroad",40
"abrupt",7
"abruptly",16
"absence",24
"absences",2
"absent",14
"absentees",1
"absently",1
"absents",1
"absolutely",32
"absorb",1
"absorbed",15
"absorbing",4
"abstain",3
"abstains",1
"abstinence",1
"abstract",2
"abstracted",2
"abstruse",1
"absurd",51
"absurdities",6
"absurdity",16
"absurdly",1
"abundance",6
"abundant",8
"abundantly",3
"abuse",13
"abused",3
"abuses",5
"abusive",1
"abut",1
"ac",104
"accede",1
"accelerates",1
"accent",6
"accents",14
"accentuating",1
"accept",30
"acceptable",10
"acceptance",8
"accepted",28
"accepting",1
"accepts",3
"access",6
"accesses",1
"accessible",1
"accession",1
"accessories",3
"accessory",2
"accident",24
"accidental",5
"accidentally",4
"accidents",5
"acclamations",2
"acclivity",1
"accommodate",3
"accommodated",1
"accommodating",1
"accommodation",3
"accompanied",26
"accompanies",2
"accompaniment",5
"accompaniments",3
"accompany",17
"accompanying",4
"accompli",1
"accomplice",2
"accomplices",1
"accomplish",6
"accomplishable",1
"accomplished",14
"accomplishes",1
"accomplishing",1
"accomplishment",3
"accomplishments",2
"accord",12
"accordance",4
"accorded",1
"according",135
"accordingly",17
"accordion",4
"accosted",6
"accosts",1
"account",130
"accountable",6
"accounted",11
"accounting",1
"accounts",13
"accouterments",2
"accoutrements",2
"accrue",2
"accrued",2
"accumulated",6
"accumulating",4
"accuracy",3
"accurate",9
"accurately",3
"accursed",1
"accus",4
"accusation",3
"accusations",1
"accuse",6
"accused",5
"accuses",1
"accusing",1
"accustom",2
"accustomed",27
"accustoms",1
"aced",2
"acerbity",1
"ache",2
"ached",8
"aches",1
"achieve",1
"achieved",2
"achievement",1
"achievements",1
"aching",5
"achiote",2
"acid",3
"acidulated",1
"acing",2
"acknow",2
"acknowledge",19
"acknowledged",12
"acknowledges",1
"acknowledgment",3
"acle",1
"acolytes",2
"acquaint",3
"acquaintance",33
"acquaintances",3
"acquainted",44
"acquainting",4
"acquiesced",2
"acquiescence",2
"acquiescing",1
"acquire",15
"acquired",11
"acquirements",1
"acquires",2
"acquisition",3
"acquisitions",1
"acquit",2
"acquits",1
"acquitted",5
"acquitting",1
"acrid",1
"acrimony",2
"across",164
"acted",8
"acting",23
"action",62
"actions",56
"active",20
"actively",2
"activities",1
"activity",3
"actors",1
"actress",1
"actual",14
"actuality",1
"actually",28
"actuated",1
"acute",4
"ad",145
"adage",5
"adapt",4
"adaptability",1
"adapted",8
"adapting",1
"adapts",1
"added",124
"adder",2
"addicted",2
"adding",51
"addition",19
"additional",11
"additions",1
"addle",5
"addled",3
"address",51
"addressed",24
"addresses",6
"addressing",6
"adds",16
"ade",4
"adeep",1
"adelphia",1
"adept",5
"adequate",5
"adhere",2
"adherence",2
"adheres",2
"adhering",2
"adhesion",1
"adieu",6
"adieus",1
